GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
event-manager,com.example.eventmanager,EventManagerApplication,8,0,0,0,3,0,2,0,2,0
event-manager,com.example.eventmanager.strategy,EventFilterContext,0,20,0,2,0,5,0,4,0,3
event-manager,com.example.eventmanager.strategy,FilterByAvailableSeats,0,20,0,2,0,4,0,4,0,3
event-manager,com.example.eventmanager.strategy,FilterByCategory,0,21,0,0,0,6,0,3,0,3
event-manager,com.example.eventmanager.strategy,EventFilterStrategy,2,3,0,0,1,1,1,1,1,1
event-manager,com.example.eventmanager.controller,ReservationController,18,241,2,10,2,52,4,15,2,11
event-manager,com.example.eventmanager.controller,AuthController,23,54,1,3,4,13,3,3,2,2
event-manager,com.example.eventmanager.controller,EventController,31,64,0,0,6,16,2,7,2,7
event-manager,com.example.eventmanager.config,SecurityConfig,0,54,0,0,0,11,0,6,0,6
event-manager,com.example.eventmanager.config,SwaggerConfig,0,3,0,0,0,1,0,1,0,1
event-manager,com.example.eventmanager.config,WebConfig,0,8,0,0,0,2,0,2,0,2
event-manager,com.example.eventmanager.config,SecurityBeansConfig,3,0,0,0,1,0,1,0,1,0
event-manager,com.example.eventmanager.config,WebConfig.new WebMvcConfigurer() {...},38,6,0,0,5,1,1,1,1,1
event-manager,com.example.eventmanager.service,CustomUserDetailsService,0,36,0,0,0,10,0,3,0,3
event-manager,com.example.eventmanager.model,Event,0,52,0,0,0,22,0,15,0,15
event-manager,com.example.eventmanager.model,User.Role,0,15,0,0,0,2,0,1,0,1
event-manager,com.example.eventmanager.model,Reservation,3,28,0,0,1,12,1,8,1,8
event-manager,com.example.eventmanager.model,User,3,35,0,0,1,15,1,10,1,10
event-manager,com.example.eventmanager.dto,EventDTO,3,0,0,0,1,0,1,0,1,0
event-manager,com.example.eventmanager.dto,AuthResponse,3,0,0,0,1,0,1,0,1,0
event-manager,com.example.eventmanager.dto,LoginRequest,3,0,0,0,1,0,1,0,1,0
event-manager,com.example.eventmanager.dto,ReservationDTO,21,10,0,0,9,4,6,3,6,3
event-manager,com.example.eventmanager.dto,RegisterRequest,0,31,0,0,0,9,0,9,0,9
